"subject","event","date","memory","negative","positive","surprise","covid","datePlot"
147,"firstStim","March",100,0,100,12,0,"MAR"
147,"georgeFloyd","May",100,100,0,80,0,"MAY"
147,"jadaSmith","July",80,23,0,27,0,"JUL"
147,"kobe","January",100,100,0,100,0,"JAN"
147,"nayaRivera","July",100,100,0,100,0,"JUL"
147,"olsenDivorce","May",0,0,0,0,0,"MAY"
147,"presBiden","November",100,0,100,9,0,"NOV"
147,"presDebates","October",100,23,40,0,0,"OCT"
147,"primaryNH","February",0,0,0,0,0,"FEB"
147,"secondStim","December",100,0,100,30,0,"DEC"
147,"soleimani","January",0,0,0,0,0,"JAN"
147,"thomBrenn","August",0,0,0,0,0,"AUG"
147,"toobinZoom","October",0,0,0,0,0,"OCT"
147,"trumpFraud","November",100,100,0,9,0,"NOV"
147,"trumpInterview","September",89,93,0,17,0,"SEP"
148,"BLM","June",100,0,100,0,0,"JUN"
148,"NFL","April",0,0,0,0,0,"APR"
148,"RBG","September",70,0,0,30,0,"SEP"
148,"baldwin","December",0,0,0,0,0,"DEC"
148,"barronTrump","June",0,0,0,0,0,"JUN"
148,"borisJCovid","April",100,0,100,0,0,"APR"
148,"caucusNV","February",90,0,50,20,0,"FEB"
148,"covid","March",100,100,0,100,1,"MAR"
148,"falwell","August",0,0,0,0,0,"AUG"
148,"firstStim","March",60,0,100,100,0,"MAR"
148,"georgeFloyd","May",100,100,0,0,0,"MAY"
148,"jadaSmith","July",0,0,0,0,0,"JUL"
148,"kobe","January",100,100,0,100,0,"JAN"
148,"nayaRivera","July",100,100,0,100,0,"JUL"
148,"olsenDivorce","May",0,0,0,0,0,"MAY"
148,"presBiden","November",95,50,50,95,0,"NOV"
148,"presDebates","October",100,100,0,0,0,"OCT"
148,"primaryNH","February",40,0,74,16,0,"FEB"
148,"secondStim","December",60,0,100,100,0,"DEC"
148,"soleimani","January",80,0,0,90,0,"JAN"
148,"thomBrenn","August",0,0,0,0,0,"AUG"
148,"toobinZoom","October",0,0,0,0,0,"OCT"
148,"trumpFraud","November",100,100,0,0,0,"NOV"
148,"trumpInterview","September",10,100,0,0,0,"SEP"
149,"BLM","June",91,77,0,54,0,"JUN"
149,"NFL","April",3,0,0,0,0,"APR"
149,"RBG","September",70,45,0,64,0,"SEP"
149,"baldwin","December",0,0,0,0,0,"DEC"
149,"barronTrump","June",9,0,0,0,0,"JUN"
149,"borisJCovid","April",0,0,0,0,0,"APR"
149,"caucusNV","February",18,8,29,11,0,"FEB"
149,"covid","March",100,71,2,45,1,"MAR"
149,"falwell","August",0,0,0,0,0,"AUG"
149,"firstStim","March",72,0,61,13,0,"MAR"
149,"georgeFloyd","May",95,92,0,48,0,"MAY"
149,"jadaSmith","July",41,0,0,50,0,"JUL"
149,"kobe","January",80,54,0,90,0,"JAN"
149,"nayaRivera","July",30,19,0,53,0,"JUL"
149,"olsenDivorce","May",0,0,0,0,0,"MAY"
149,"presBiden","November",94,10,85,29,0,"NOV"
149,"presDebates","October",75,21,20,0,0,"OCT"
