"subject","event1","event2","actualDist","value","bothMem","respProp","actProp","propDiff","propAbsDiff","pairOrder","avgMem","avgSurp","avgPos","avgNeg","distFactor","lockdownFactor"
109,"georgeFloyd","trumpFraud",166,66,1,0.66,0.454794520547945,0.205205479452055,0.205205479452055,1,100,47,0,100,1,"al"
109,"kobe","covid",44,91,1,0.91,0.120547945205479,0.789452054794521,0.789452054794521,1,92.5,60,10.5,19.5,0,"bl"
109,"kobe","firstStim",60,15,1,0.15,0.164383561643836,-0.0143835616438356,0.0143835616438356,0,90,50,50,0,0,"bl"
109,"kobe","RBG",235,25,1,0.25,0.643835616438356,-0.393835616438356,0.393835616438356,0,90,60,12.5,35,1,"l"
109,"RBG","presBiden",51,71,1,0.71,0.13972602739726,0.57027397260274,0.57027397260274,1,97.5,35,62.5,35,0,"al"
109,"soleimani","BLM",148,51,1,0.51,0.405479452054795,0.104520547945205,0.104520547945205,1,75.5,61,39.5,47,1,"l"
109,"soleimani","covid",67,84,1,0.84,0.183561643835616,0.656438356164384,0.656438356164384,1,80,60,35.5,34.5,0,"bl"
11,"covid","BLM",82,35,1,0.35,0.224657534246575,0.125342465753425,0.125342465753425,1,100,50,50,50,0,"l"
11,"covid","presBiden",241,90,1,0.9,0.66027397260274,0.23972602739726,0.23972602739726,1,100,52.5,50,50,1,"l"
11,"firstStim","georgeFloyd",59,25,1,0.25,0.161643835616438,0.0883561643835616,0.0883561643835616,1,100,62.5,50,50,0,"l"
11,"georgeFloyd","RBG",116,60,1,0.6,0.317808219178082,0.282191780821918,0.282191780821918,1,100,42.5,0,87.5,1,"al"
11,"georgeFloyd","trumpFraud",166,70,1,0.7,0.454794520547945,0.245205479452055,0.245205479452055,1,100,37.5,0,100,1,"al"
11,"kobe","covid",44,20,1,0.2,0.120547945205479,0.0794520547945206,0.0794520547945206,1,87.5,77.5,0,87.5,0,"bl"
11,"kobe","firstStim",60,40,1,0.4,0.164383561643836,0.235616438356164,0.235616438356164,1,87.5,62.5,50,37.5,0,"bl"
11,"kobe","RBG",235,50,1,0.5,0.643835616438356,-0.143835616438356,0.143835616438356,1,87.5,42.5,0,75,1,"l"
11,"RBG","presBiden",51,20,1,0.2,0.13972602739726,0.0602739726027397,0.0602739726027397,1,100,17.5,50,37.5,0,"al"
11,"soleimani","BLM",148,50,0,0.5,0.405479452054795,0.0945205479452055,0.0945205479452055,NA,50,10,50,0,1,"l"
11,"soleimani","covid",67,15,0,0.15,0.183561643835616,-0.0335616438356164,0.0335616438356164,NA,50,40,0,50,0,"bl"
110,"covid","BLM",82,20,0,0.2,0.224657534246575,-0.0246575342465753,0.0246575342465753,NA,20,34.5,6.5,36,0,"l"
110,"covid","presBiden",241,84,1,0.84,0.66027397260274,0.17972602739726,0.17972602739726,1,24,54,36.5,52.5,1,"l"
110,"firstStim","georgeFloyd",59,21,1,0.21,0.161643835616438,0.0483561643835616,0.0483561643835616,1,12,57,43.5,17,0,"l"
110,"georgeFloyd","RBG",116,95,1,0.95,0.317808219178082,0.632191780821918,0.632191780821918,1,22.5,49,10,36.5,1,"al"
110,"georgeFloyd","trumpFraud",166,79,1,0.79,0.454794520547945,0.335205479452055,0.335205479452055,1,28,30,5.5,44.5,1,"al"
110,"kobe","covid",44,20,1,0.2,0.120547945205479,0.0794520547945206,0.0794520547945206,1,70,78,7.5,51,0,"bl"
110,"kobe","firstStim",60,35,1,0.35,0.164383561643836,0.185616438356164,0.185616438356164,1,55,81,42,15.5,0,"bl"
110,"kobe","RBG",235,95,1,0.95,0.643835616438356,0.306164383561644,0.306164383561644,1,65.5,73,8.5,35,1,"l"
110,"RBG","presBiden",51,91,1,0.91,0.13972602739726,0.77027397260274,0.77027397260274,1,19.5,49,37.5,36.5,0,"al"
110,"soleimani","BLM",148,34,0,0.34,0.405479452054795,-0.0654794520547945,0.0654794520547945,NA,0,0,0,0,1,"l"
110,"soleimani","covid",67,31,0,0.31,0.183561643835616,0.126438356164384,0.126438356164384,NA,20,34.5,6.5,36,0,"bl"
111,"covid","BLM",82,69,1,0.69,0.224657534246575,0.465342465753425,0.465342465753425,1,89.5,49.5,2.5,96,0,"l"
111,"covid","presBiden",241,84,1,0.84,0.66027397260274,0.17972602739726,0.17972602739726,1,91.5,47.5,12.5,84.5,1,"l"
111,"firstStim","georgeFloyd",59,26,1,0.26,0.161643835616438,0.0983561643835617,0.0983561643835617,0,93.5,38.5,12.5,70,0,"l"
111,"georgeFloyd","RBG",116,23,1,0.23,0.317808219178082,-0.0878082191780822,0.0878082191780822,1,79.5,38.5,10,65,1,"al"
