"date","topic","entryCount","topic_totalCount","topic_monthCount","topic_propTopic","topic_propMonth","set","entryCount_total","topic_propTotal","datePlot"
"November","BLM",1,74,486,0.013513514,0.002057613,"2020",5077,0.000196966712625566,"NOV"
"November","covid-onset",1,51,486,0.019607843,0.002057613,"2020",5077,0.000196966712625566,"NOV"
"December","covid",76,1854,197,0.040992449,0.385786802,"2020",5077,0.014969470159543,"DEC"
"December","social",57,1274,197,0.044740973,0.289340102,"2020",5077,0.0112271026196573,"DEC"
"December","occupation",32,1050,197,0.03047619,0.162436548,"2020",5077,0.00630293480401812,"DEC"
"December","election",18,283,197,0.06360424,0.091370558,"2020",5077,0.00354540082726019,"DEC"
"December","domestic",10,161,197,0.062111801,0.050761421,"2020",5077,0.00196966712625566,"DEC"
"December","BLM",1,74,197,0.013513514,0.005076142,"2020",5077,0.000196966712625566,"DEC"
"December","covid-onset",3,51,197,0.058823529,0.015228426,"2020",5077,0.000590900137876699,"DEC"
"April","BLM",7,79,212,0.088607595,0.033018868,"2020+1",2137,0.00327562002807674,"APR"
"April","covid",84,860,212,0.097674419,0.396226415,"2020+1",2137,0.0393074403369209,"APR"
"April","covid-news",18,208,212,0.086538462,0.08490566,"2020+1",2137,0.0084230229293402,"APR"
"April","covid-onset",21,126,212,0.166666667,0.099056604,"2020+1",2137,0.00982686008423023,"APR"
"April","election",1,97,212,0.010309278,0.004716981,"2020+1",2137,0.000467945718296678,"APR"
"April","occupation",20,162,212,0.12345679,0.094339623,"2020+1",2137,0.00935891436593355,"APR"
"April","social",50,464,212,0.107758621,0.235849057,"2020+1",2137,0.0233972859148339,"APR"
"August","BLM",5,79,109,0.063291139,0.04587156,"2020+1",2137,0.00233972859148339,"AUG"
"August","covid",36,860,109,0.041860465,0.330275229,"2020+1",2137,0.0168460458586804,"AUG"
"August","covid-news",1,208,109,0.004807692,0.009174312,"2020+1",2137,0.000467945718296678,"AUG"
"August","covid-onset",4,126,109,0.031746032,0.036697248,"2020+1",2137,0.00187178287318671,"AUG"
"August","election",2,97,109,0.020618557,0.018348624,"2020+1",2137,0.000935891436593355,"AUG"
"August","occupation",16,162,109,0.098765432,0.146788991,"2020+1",2137,0.00748713149274684,"AUG"
"August","social",28,464,109,0.060344828,0.256880734,"2020+1",2137,0.013102480112307,"AUG"
"December","BLM",2,79,135,0.025316456,0.014814815,"2020+1",2137,0.000935891436593355,"DEC"
"December","covid",51,860,135,0.059302326,0.377777778,"2020+1",2137,0.0238652316331306,"DEC"
"December","covid-news",4,208,135,0.019230769,0.02962963,"2020+1",2137,0.00187178287318671,"DEC"
"December","covid-onset",4,126,135,0.031746032,0.02962963,"2020+1",2137,0.00187178287318671,"DEC"
"December","election",6,97,135,0.06185567,0.044444444,"2020+1",2137,0.00280767430978007,"DEC"
"December","occupation",3,162,135,0.018518519,0.022222222,"2020+1",2137,0.00140383715489003,"DEC"
"December","social",55,464,135,0.118534483,0.407407407,"2020+1",2137,0.0257370145063173,"DEC"
"February","covid",40,860,120,0.046511628,0.333333333,"2020+1",2137,0.0187178287318671,"FEB"
"February","covid-news",28,208,120,0.134615385,0.233333333,"2020+1",2137,0.013102480112307,"FEB"
"February","covid-onset",2,126,120,0.015873016,0.016666667,"2020+1",2137,0.000935891436593355,"FEB"
"February","election",2,97,120,0.020618557,0.016666667,"2020+1",2137,0.000935891436593355,"FEB"
"February","occupation",7,162,120,0.043209877,0.058333333,"2020+1",2137,0.00327562002807674,"FEB"
"February","social",29,464,120,0.0625,0.241666667,"2020+1",2137,0.0135704258306037,"FEB"
"January","BLM",3,79,115,0.037974684,0.026086957,"2020+1",2137,0.00140383715489003,"JAN"
"January","covid",34,860,115,0.039534884,0.295652174,"2020+1",2137,0.015910154422087,"JAN"
"January","covid-news",28,208,115,0.134615385,0.243478261,"2020+1",2137,0.013102480112307,"JAN"
"January","covid-onset",2,126,115,0.015873016,0.017391304,"2020+1",2137,0.000935891436593355,"JAN"
"January","election",5,97,115,0.051546392,0.043478261,"2020+1",2137,0.00233972859148339,"JAN"
"January","occupation",4,162,115,0.024691358,0.034782609,"2020+1",2137,0.00187178287318671,"JAN"
"January","social",25,464,115,0.05387931,0.217391304,"2020+1",2137,0.0116986429574169,"JAN"
"July","BLM",7,79,98,0.088607595,0.071428571,"2020+1",2137,0.00327562002807674,"JUL"
"July","covid",45,860,98,0.052325581,0.459183673,"2020+1",2137,0.0210575573233505,"JUL"
"July","covid-onset",4,126,98,0.031746032,0.040816327,"2020+1",2137,0.00187178287318671,"JUL"
"July","election",1,97,98,0.010309278,0.010204082,"2020+1",2137,0.000467945718296678,"JUL"
"July","occupation",3,162,98,0.018518519,0.030612245,"2020+1",2137,0.00140383715489003,"JUL"
"July","social",28,464,98,0.060344828,0.285714286,"2020+1",2137,0.013102480112307,"JUL"
"June","BLM",17,79,142,0.215189873,0.11971831,"2020+1",2137,0.00795507721104352,"JUN"
"June","covid",58,860,142,0.06744186,0.408450704,"2020+1",2137,0.0271408516612073,"JUN"
"June","covid-news",5,208,142,0.024038462,0.035211268,"2020+1",2137,0.00233972859148339,"JUN"
"June","covid-onset",9,126,142,0.071428571,0.063380282,"2020+1",2137,0.0042115114646701,"JUN"
"June","occupation",13,162,142,0.080246914,0.091549296,"2020+1",2137,0.00608329433785681,"JUN"
"June","social",30,464,142,0.064655172,0.211267606,"2020+1",2137,0.0140383715489003,"JUN"
"March","BLM",7,79,465,0.088607595,0.015053763,"2020+1",2137,0.00327562002807674,"MAR"
"March","covid",211,860,465,0.245348837,0.453763441,"2020+1",2137,0.098736546560599,"MAR"
